,a,b,c,d,e
1.094,1.009814317,4.431881382,1.565203403,6.170163947,4.913878819
1.095,4.477921592,9.207399141,7.099266524,9.563243587,8.648852709
1.096,5.285870013,3.102481178,4.56339814,1.654019056,6.590840104
1.097,6.841607971,6.483772214,6.666747184,1.920235414,3.22670926
1.098,8.70765041,3.464237313,3.406019746,3.457271489,0.083897306
1.099,4.210741311,3.434687218,4.792994377,0.799975976,0.248728963
1.1,3.23794878,1.059015846,2.654334043,6.568120026,2.048083437
1.101,6.056882293,3.587091031,1.726587781,4.840251063,1.732951387
1.102,6.904761358,5.753356721,3.942800851,0.49367169,1.189494946
1.103,2.401574479,4.648853174,2.769314729,9.819280245,7.435212
1.104,5.3015666,5.285898973,7.917493347,9.339965032,2.256620651
1.105,8.455771219,5.90189593,2.462483968,4.613580669,9.675169345
1.106,7.511974074,5.610054589,6.115553415,3.349145289,4.737283489
1.107,2.152830462,8.986995484,2.015503136,7.359282417,6.242591316
1.108,8.557122214,8.225415358,9.793356465,1.049288202,9.81212884
1.109,6.991608236,2.329134934,1.983592209,2.749714058,5.853285281
1.11,0.459516243,6.37717715,4.776666448,5.481329986,3.865530141
1.111,7.127823463,9.09481159,5.616688393,6.175540879,7.707213793
1.112,2.969651892,9.514432744,1.666227305,5.150328539,8.884484193
1.113,9.266953773,5.997605162,7.020001113,5.421374826,4.963426468
1.114,9.686918257,0.276707159,5.638409525,2.740791443,4.382210374
1.115,7.784862554,0.108833664,6.913290135,3.989179833,5.771786643
1.116,3.106998572,9.501165807,7.448759912,5.006437919,4.579979656
1.117,3.065715794,3.204619766,8.863414693,1.492641719,3.486940181
1.118,8.401539403,8.85158151,7.013446588,2.910106244,4.172642187
1.119,1.587107522,6.209565547,7.5367245,4.556548319,3.025565168
1.12,7.501738778,9.673774298,2.991700412,6.911737947,3.522258837
1.121,8.450380547,0.527359816,0.772807275,6.651945241,2.051550148
1.122,3.068904021,8.10026292,0.162340789,6.377898706,7.594537847
1.123,9.115431728,1.042884226,1.991356837,9.267263692,7.268285786
1.124,6.830876698,9.731191201,4.081508239,8.671078711,1.922737608
1.125,1.539302663,6.18125876,5.959505559,5.348238277,5.266446644
1.126,9.25962595,1.533121521,1.494924401,9.990599646,2.69973519
1.127,0.562195855,3.963094646,7.750800927,9.526311186,7.841989837
1.128,7.283287306,2.127055156,4.108572207,8.180354287,2.513252546
1.129,6.960052056,6.002918447,0.010879686,8.645743358,8.559754613
1.13,4.656635396,0.201813493,3.662443576,6.469084865,7.710416627
1.131,7.438569239,1.75929609,6.610815799,5.595719819,7.752949872
1.132,9.029039874,1.980118143,9.605482198,5.454208287,2.187359706
1.133,3.350323963,5.616615309,9.491181782,9.269183695,8.219212479
1.134,3.164611644,3.227812876,2.431411962,3.726669567,7.670329067
1.135,4.579512563,9.177345428,3.367956596,9.897847239,7.333982251
1.136,5.232348995,9.754069613,4.739624248,0.323152058,9.799023548
1.137,3.030147856,1.831109987,5.763445299,6.472686575,2.48402019
1.138,9.470015371,3.06368383,8.315192955,3.184393798,5.031403058
1.139,9.586811593,5.110968081,3.656244684,7.382653156,7.656892358
1.14,4.135483681,2.066415773,0.067374172,1.264909794,9.084696793
1.141,4.107068566,5.722256109,2.963171995,4.205108469,0.828322203
1.142,2.017281773,5.711806435,6.115732316,9.25357801,3.433648666
1.143,8.414591114,4.489240472,0.014784622,6.354727749,0.071711533
1.144,2.108794593,1.560684098,7.271779441,8.935599783,1.360507265
1.145,1.625234097,5.820010713,7.414887326,9.167140245,6.390247367
1.146,7.275270928,0.625763955,0.724927192,7.627561947,7.622495085
1.147,0.629064676,4.901153446,1.803476358,1.271484656,3.3586059
1.148,7.899383075,2.362628076,9.649282849,5.991710678,8.732404485
1.149,2.656104218,2.647982094,2.830101083,2.453985368,3.166618706
1.15,5.235643359,7.013772402,7.142900524,2.200754496,9.584184636
1.151,2.816553274,7.522861553,3.890329115,9.367649326,5.740759228
1.152,1.153685019,1.281512083,1.129690961,1.605325924,3.718265152
1.153,5.723672133,0.928665464,0.231495455,7.037982622,7.290839257
1.154,7.269424795,2.384628297,8.841239391,2.196719303,8.240081274
1.155,4.201350459,9.84608266,1.613797121,8.583115487,1.095352861
1.156,8.707861727,2.239710457,5.889991128,5.521508735,0.703248576
1.157,1.581906618,4.55952975,9.47591995,4.021387064,4.434668518
1.158,2.854439466,3.572879362,5.436069072,8.260423836,5.734455897
1.159,6.110362846,2.31802936,3.446260907,4.967382991,5.678304696
1.16,7.203774926,2.310788145,2.919672834,5.96414501,6.214610802
1.161,2.050316939,2.209950159,1.018023972,5.477910058,7.963035211
1.162,3.671284082,1.632731423,0.959971433,7.789560037,3.169074274
1.163,8.328976202,3.524860178,5.542351951,0.836158368,3.972018862
1.164,4.716772375,5.28887769,1.355204293,7.262180432,6.722039609
1.165,3.413614419,3.191668416,8.65016624,7.96639496,6.69635911
1.166,5.910031284,1.539481963,3.972799634,4.442982362,5.559585561
1.167,7.476219079,6.004851128,1.009091467,9.076567221,1.43374741
1.168,8.084889867,6.40301198,9.892992276,5.107725967,1.940092487
1.169,4.513456587,5.93408298,5.361705278,1.47235938,7.01527716
1.17,0.67678127,5.616063123,3.838059552,5.126099222,5.277109173
1.171,3.484420747,3.644868969,6.449172762,9.961094789,2.920563482
1.172,3.968919332,1.862538166,7.398210613,5.200455238,6.295979997
1.173,5.827062054,8.170569391,6.12849186,0.769956108,0.906650647
1.174,0.876812477,8.7403878,9.468199706,9.9840567,2.8952515
1.175,3.541674968,7.453261499,9.504191436,2.125069832,4.341724166
1.176,5.292326967,8.884975381,6.635214351,1.196728074,6.487575008
1.177,8.327641876,0.332365848,5.873154062,9.621521553,0.892835478
1.178,1.432146145,2.005283251,8.853142689,6.932004339,8.597141649
1.179,7.940694099,1.548628026,5.059466491,5.893128747,7.583093748
1.18,7.400358349,7.575469898,0.78985573,7.236879553,4.663123946
1.181,0.011647715,1.137094183,6.125747662,4.553967508,9.235584608
1.182,8.129490769,4.233101044,6.337171775,5.489042984,7.627462216
1.183,8.107782026,8.337599843,8.180449824,6.195436088,5.245605064
1.184,9.751780757,4.393693769,0.394500278,1.035024202,1.372051641
1.185,5.927287988,1.564165503,2.877126477,1.344279876,8.382915034
1.186,7.759740565,7.3858968,1.584358758,4.156200062,8.394298612
1.187,0.865624345,7.586085973,0.044540198,6.144136032,0.954512686
1.188,0.750771648,7.478164303,2.138140325,9.686366698,9.194841765
1.189,2.948407941,4.538080354,2.075793681,3.212846885,0.98127404
1.19,3.739203918,2.349277417,1.295098787,0.874506871,1.213177498
1.191,7.625950037,1.035066592,7.782376393,4.950099942,2.097708937
1.192,9.170105191,0.94556483,8.232140921,5.91951167,9.822927697
1.193,8.33732503,9.417226446,4.891879138,5.913443844,0.886525474
1.194,2.217781953,7.58719691,2.224977629,2.638970679,1.677548902
1.195,2.509443758,1.152461601,1.317065944,6.254806493,3.465458741
1.196,6.808672004,9.940216162,6.844548771,7.415262651,1.981461364
1.197,2.256625972,6.806998743,8.901694799,2.039171702,2.39109686
1.198,4.513580089,8.473661998,3.096802909,8.486130097,3.686449209
1.199,4.673576666,0.394555412,5.748944097,2.464351266,3.240536672
1.2,4.828060894,3.143035419,7.894758979,5.665647271,8.730446673
1.201,5.430096862,2.764047936,5.828720094,7.265730062,1.760518905
1.202,6.503873074,6.968168514,0.101628384,0.501270985,4.543178315
1.203,7.445818151,0.903814411,7.096689583,1.483558594,0.056319601
1.204,6.724986702,6.344529662,7.975305196,8.966203747,6.208994555
1.205,5.020824169,5.425878674,5.822324496,8.902492484,6.99339996
1.206,2.293356704,1.534847412,3.536482988,6.765767576,2.114350234
1.207,1.150792765,4.080243401,0.137464593,8.339151318,4.526412826
1.208,2.254627185,6.033236162,0.249160365,6.547665217,1.993516639
1.209,2.422779388,4.961601744,2.922550438,7.968703979,6.859587002
1.21,0.028867122,6.740778762,2.301024818,5.795766885,9.386919162
1.211,9.134538782,9.039256096,4.772788296,9.926221284,5.087059777
1.212,8.0935028,6.119745994,1.573861409,8.28409006,6.097071206
1.213,3.094130373,1.565583123,8.861926312,7.729118574,2.831105431
1.214,2.168905957,8.133900052,5.746145542,5.727871483,0.253853859
1.215,9.245663424,3.449225695,7.502403081,2.219691878,6.58154381
1.216,7.829643524,9.321267788,8.054576759,3.611920358,4.543169451
1.217,4.998650377,6.471841865,1.233377639,1.224154067,3.253139798
1.218,0.85919211,4.683077562,8.795751711,4.205344945,7.007418742
1.219,3.386403917,4.408127482,1.521105186,6.997182789,4.31499099
1.22,1.859153621,9.290648326,3.565154534,8.988307596,0.313803492
1.221,5.438681516,4.46646886,6.832947782,4.684870707,4.920576137
1.222,1.517667467,2.560969767,5.357586708,8.331449676,8.852321208
1.223,6.992735015,3.934824949,0.701813931,6.906157488,6.350815022
1.224,5.45561028,7.48218545,0.951795293,1.640164315,8.054375306
1.225,3.721559494,3.959445012,2.827300997,1.240716012,9.432244069
1.226,6.208513834,8.292032987,1.112337035,0.200828539,3.316863064
1.227,8.080970606,9.815505355,9.666911203,5.131994268,1.871527826
1.228,4.179701546,1.780404728,5.399210103,2.150071423,8.205678798
1.229,9.077771877,4.981067409,4.31397883,9.094221731,6.904778953
1.23,1.823040761,0.087321351,3.697200658,2.180577736,3.813821534
1.231,7.696411298,1.243365483,0.600898107,4.16589854,2.20852624
1.232,4.235536317,4.17005066,8.101881619,9.058697762,2.13414081
1.233,0.150998057,7.841968464,2.345180985,3.220329746,5.538592077
1.234,0.421589601,5.82644933,5.274189205,0.820762054,9.180128374
1.235,5.930299175,8.714862703,1.891819562,1.716137029,7.713259752
1.236,3.348524336,9.342049655,4.484327467,4.049792601,1.840239266
1.237,5.935180901,9.739850879,1.393160739,1.627709152,7.897246853
1.238,1.632454643,6.82705623,6.806885895,1.942520074,2.2798885
1.239,9.523110649,7.157464688,7.703472326,7.506014459,2.666428875
1.24,7.310766471,1.696610059,4.280981996,6.179496859,1.731274363
1.241,5.356751241,0.14811579,5.143272273,7.410440365,1.093824656
1.242,8.983018931,3.255248008,4.436986395,5.922984233,9.29531833
1.243,4.875987558,3.675881756,7.741319279,0.790450979,2.896136502
1.244,4.632659637,5.479836705,3.384295384,3.255232271,3.540765546
1.245,0.246670946,9.522579145,8.119327792,2.369067782,7.192195252
1.246,7.221293078,8.109349435,4.132574767,6.95638874,5.311759181
1.247,9.844976387,6.15242394,3.760175849,8.699988105,8.021172071
1.248,9.160907584,0.715692846,9.223980596,8.176664678,0.55002075
1.249,8.88487104,0.038050774,0.119288461,7.260538837,8.780750253
1.25,2.925247892,8.306947981,6.561466105,3.186766856,7.860075244
1.251,1.550454105,6.920548638,5.712833736,2.333812292,4.870494766
1.252,4.901618869,5.001179441,9.106584616,8.668533421,0.204721186
1.253,9.710302978,8.338425264,6.024505364,1.18598976,4.790343904
1.254,3.864758814,3.238821516,7.956921957,5.117569462,8.747381785
1.255,4.107230262,3.761432862,6.75618527,1.118513396,6.839470579
1.256,9.410722502,3.352643127,9.444638746,1.662285014,5.888322913
1.257,8.038781216,0.737633454,5.375134869,8.010468868,4.077348494
1.258,4.592589206,5.242199898,1.458934162,9.432827873,1.098842143
1.259,5.716047292,2.527144952,7.373473299,4.81747995,2.166412628
1.26,5.577297395,9.851113107,0.260557454,5.856594656,6.429886737
1.261,0.170494133,2.31105467,3.756679283,1.466619199,4.114949966
1.262,0.769918355,2.67356497,7.978314219,9.442706274,6.177034098
1.263,7.876714462,0.59893573,0.583715112,3.93043162,8.064929984
1.264,8.947831172,9.371278861,5.251162475,7.941766565,9.191125701
1.265,5.960436284,0.875068972,2.87893499,2.584851445,8.523736319
1.266,5.843235541,5.155877469,5.202458633,6.838016843,6.002000404
1.267,1.970153131,6.241041225,7.886090286,6.384443042,4.679249768
1.268,1.808489973,8.820317046,3.276034774,1.965326101,8.014581575
1.269,5.053268772,0.491863837,7.098915709,5.791030748,4.08022989
1.27,2.321807527,2.77044203,8.89819118,3.96950487,1.430656381
1.271,0.1454298,9.568259624,4.931809123,8.021002277,2.637012252
1.272,8.886165239,9.605326143,2.587000361,0.766529854,9.257262343
1.273,3.158326692,2.79526431,5.46006221,2.33555026,3.481174143
1.274,6.90678522,2.959318004,4.984730004,3.251518323,4.416659471
1.275,1.720883609,9.208382643,8.269401706,6.796944952,5.494773833
1.276,3.686897418,7.879120379,3.992944046,9.535743732,9.21372494
1.277,1.758016273,7.1636958,2.581289035,5.200321862,9.902753841
1.278,6.497925919,6.360928787,9.748137538,6.20625527,6.151014933
1.279,0.867437905,2.684599813,5.001673669,4.050157156,6.144040791
1.28,1.480012965,0.552288476,4.677382372,1.921245148,5.845213585
1.281,0.640224161,4.444675948,7.114606549,0.959920044,2.020613527
1.282,1.559957597,5.989081476,6.067441519,1.33979999,1.118658882
1.283,9.290859297,7.182999634,4.757936173,4.775943484,4.24748977
1.284,0.247455326,2.211198695,9.319321881,2.100152634,6.884117522
1.285,9.423394524,6.935346184,1.669382509,3.883283386,9.961052391
1.286,0.975074292,9.379026977,0.354829831,9.498809493,4.751646385
1.287,8.896418482,2.114665243,4.392823745,6.787171324,0.642795125
1.288,5.788826965,6.855657822,8.361268192,1.315805092,8.504510015
1.289,4.30588876,7.551666875,5.456882076,4.313689977,5.256666265
1.29,0.971960354,9.433157209,9.028024963,3.430459909,8.629345444
1.291,1.755529765,4.797370294,5.508252286,9.995194989,6.353985599
1.292,9.0824466,8.602683257,4.829995306,6.225770897,0.614532436
1.293,4.07060373,5.352106029,3.297778755,7.245761476,3.769213048
1.294,5.485299222,0.264379032,9.046121171,3.79604664,8.566430061
1.295,2.164068628,0.834930224,7.986487973,6.5403972,7.275073699
1.296,3.061225667,0.483481269,3.507619014,5.931983964,2.594037756
1.297,5.267102692,5.404700123,4.072884585,5.294363826,4.333949168
1.298,1.443836942,8.358434805,8.807309502,0.748904851,2.757263428
1.299,0.463675587,1.598971417,8.306357002,1.004550373,1.269004684
1.3,8.344348382,1.333998957,5.168161855,8.15527477,6.038341072
1.301,2.816025004,7.945282088,4.523173168,9.006096606,6.144638018
1.302,5.15715748,2.109612038,1.155463517,0.120261457,1.935882932
1.303,7.207704275,2.585339176,1.553447562,2.17234383,4.646179167
1.304,9.264441192,8.668098088,9.359735784,2.196515846,2.582854643
1.305,1.608268077,6.380041229,1.618176967,8.3821111,4.70428783
1.306,4.115493433,4.81077274,0.799746032,5.159929345,2.082761309
1.307,7.158837557,1.520965832,1.904614535,7.213975566,7.912050892
1.308,2.866605274,7.854630005,8.071336885,1.127618038,1.204028079
1.309,5.589400435,4.989216793,0.116571793,2.141017366,7.129566942
1.31,1.183398053,7.642146363,3.157566635,3.663281865,5.534253479
1.311,6.731880217,0.695268514,4.927716662,1.84900875,4.169763101
1.312,0.604752943,2.08985995,3.623509586,3.468378867,3.168778811
1.313,8.137677258,9.544588546,6.649563796,0.784140228,7.581247944
1.314,3.947119017,8.219271282,3.810282638,8.746105684,9.491660964
1.315,6.400679352,8.591183851,9.977764334,9.817418778,4.563323248
1.316,3.010898218,6.49898771,2.628462851,8.815880095,8.716408884
1.317,3.837463384,8.406656373,8.810998457,0.091869292,8.76909402
1.318,4.458643158,9.748426374,1.466960209,8.765518257,7.196808446
1.319,4.40478521,0.619218818,1.08690465,2.696425099,0.627966074
1.32,5.652616986,2.400894915,4.267899058,2.31592013,5.089812655
1.321,0.315582062,1.036141142,3.421096607,0.614057329,8.764026585
1.322,5.478853175,1.863709095,5.217143708,2.383116935,0.353630056
1.323,3.747028686,5.376174581,6.392969841,8.452486888,5.855362166
1.324,5.401310984,9.586642392,0.37977703,7.796677562,8.179922107
1.325,6.983957945,1.250812584,3.58855983,3.508633687,8.798078129
1.326,3.454597756,6.360049246,0.053276329,1.740395245,6.023819969
1.327,0.3603211,6.711101369,5.173125422,8.243921498,6.707740672
1.328,8.404339849,9.763813574,3.696462965,8.567439768,9.387586841
1.329,3.72780225,2.617939757,4.390115776,3.256255671,1.924765136
1.33,0.645203382,0.095062388,8.977949953,9.273241005,4.581361336
1.331,1.110845706,9.559241563,5.256485709,9.550139926,0.711190524
1.332,7.327085709,9.281391419,5.286919172,7.113421878,0.615768517
1.333,7.022541956,1.368921402,6.163006634,3.631276516,3.022662288
1.334,0.800461626,1.196343353,4.66720531,4.558325839,9.445525696
1.335,3.221367191,5.339364721,1.303708545,1.364925902,2.40441506
1.336,0.962720038,1.921448549,9.762704919,4.298835951,7.263408314
1.337,9.46211758,1.001894375,7.45019573,2.418083049,1.860214407
1.338,4.816777175,9.305914281,6.195726637,3.509667261,8.803828701
1.339,8.328100985,4.932332503,3.303409992,4.574856844,8.896468609
1.34,8.268212146,4.591446855,5.026713732,0.086266667,2.155038453
1.341,9.764036228,6.052761693,4.55306656,6.077472948,9.499118272
1.342,8.605292364,8.309104279,0.660864037,2.415401935,9.675334548
1.343,6.930409676,7.395101344,6.021898959,9.916236534,4.516700655
1.344,4.640965524,9.513015942,2.687550798,5.641726141,4.099576651
1.345,3.054332654,0.842400107,7.269457099,7.753657587,3.252178251
1.346,3.830990797,3.476875532,2.620156698,5.035085643,3.591701567
1.347,9.063654083,7.581382491,8.275876538,5.000863144,5.79431269
1.348,8.015376029,5.030295624,5.524981693,3.15258124,5.407065676
1.349,9.957419075,9.822498282,9.320151255,3.648602391,8.156205049
1.35,9.912171797,4.863984411,8.84482689,8.082130066,7.272516899
1.351,2.949432526,5.740349933,8.197988772,3.834172052,0.185177444
1.352,2.454720404,5.71111331,3.624998991,0.326202112,2.059199739
1.353,2.347904003,2.472544325,1.028729763,6.222839003,2.612703248
1.354,8.458369907,2.466288437,4.665178566,3.928791016,2.741531654
1.355,7.20188459,5.163912645,3.788642829,8.113270181,9.505762663
1.356,3.747152207,9.273228298,4.856601415,8.698557896,2.30320965
1.357,1.805742434,6.456991713,2.886710286,3.691110531,7.537613293
1.358,8.528354121,0.182909548,0.908059735,8.154900052,8.705265549
1.359,1.779169222,4.031382652,9.115592747,9.420804733,6.817017184
1.36,2.2518347,4.336020964,9.033149772,8.897026387,7.777556157
1.361,4.309088883,4.462782641,1.622752987,6.686204054,5.258176011
1.362,2.660612815,1.631966941,2.687497902,2.219383652,6.977842393
1.363,4.164284701,8.850039333,6.970292059,1.147637529,9.83498084
1.364,1.742875372,2.358669075,5.595665849,8.710164699,4.073158306
1.365,0.237005067,8.645426895,1.644871422,2.253929282,5.288051723
1.366,5.160341505,3.655781757,4.14002569,4.307071291,2.069822404
1.367,3.293132469,4.979736546,9.239512993,7.985590725,8.459332145
1.368,2.798749901,4.177253542,1.146009465,9.042746014,4.231164175
1.369,2.582884017,8.013568235,2.8559348,6.027538958,1.432696657
1.37,9.500264985,7.273618857,7.580131166,4.51424178,1.312219214
1.371,9.033945658,8.833796888,6.076305559,2.650733235,6.434928855
1.372,7.538644918,0.386058709,8.927491592,5.446713334,1.708106813
1.373,4.874386634,6.496168593,0.557996329,0.427467814,0.232828079
1.374,7.10574314,6.123550667,3.655962937,6.456890933,8.763118647
1.375,7.61366336,9.92686886,9.674473711,8.341333275,4.50960717
1.376,0.177014322,9.258792445,2.697386952,7.224821652,7.536466857
1.377,7.491565389,8.243064104,2.31387676,5.311820884,8.935381023
1.378,1.870764806,0.90525157,1.96270103,9.092424725,2.76264974
1.379,9.795187811,0.138803936,2.116350514,2.556021528,5.565568091
1.38,2.599103681,1.082925369,5.548610063,7.024279604,5.580714231
1.381,2.857506906,3.991417472,6.569626985,9.932629906,2.635165304
1.382,1.37087563,7.553923851,1.400357639,5.553253654,3.979410516
1.383,4.80157435,5.212095803,9.868912788,5.7016151,0.437256458
1.384,7.925506313,2.744888985,7.291260219,4.776596032,8.408055738
1.385,2.682288926,9.656381574,0.13678197,6.853404007,9.003477607
1.386,3.641258662,6.310416942,6.964768751,0.474962785,8.533004269
1.387,0.967395635,1.156946968,7.735002199,0.044634385,3.423125497
1.388,0.227415919,1.765586659,9.129183096,1.339602879,6.906444384
1.389,1.477874994,9.184201357,4.365376897,2.064579802,5.599500862
1.39,4.535083545,7.762153788,5.492723878,0.24778083,4.079812299
1.391,2.329798629,5.555190214,3.787458253,2.662914229,6.927950099
1.392,8.329282368,3.049158901,1.535721952,2.990404948,6.788445914
1.393,9.456426055,0.648584622,2.34953357,9.175051717,1.848869717
1.394,5.513647333,0.982877855,0.692478064,3.315623821,1.887718698
1.395,7.162611187,8.010699872,6.154158901,8.462505908,9.381055413
1.396,9.600498605,4.62286083,5.011382285,6.229766436,3.373348845
1.397,1.5251533,3.823966905,6.270095839,9.354075735,4.848454317
1.398,5.456977328,6.347213525,4.71042142,1.502408919,4.103166636
1.399,9.082412362,1.731297399,9.893922109,3.280978439,5.310663939
1.4,5.643373458,5.050956233,2.402860219,1.532486011,7.411708513
1.401,2.183161637,9.27418669,5.229925023,6.21566371,6.020002023
1.402,6.674955311,3.254760395,2.340970512,4.230313069,3.470556496
1.403,8.775552882,3.914753408,3.784618408,8.905267688,7.552713631
1.404,2.466831736,6.053099442,8.401428618,6.600252907,8.699888657
1.405,9.615716395,9.708160552,8.94806934,9.281195014,5.844744349
1.406,4.399725384,4.265672906,0.781629196,9.652920235,9.074709131
1.407,3.161934555,1.566699839,9.196877103,6.553362553,0.813429465
1.408,1.580012788,3.385867833,1.006327436,6.484934308,7.030860136
1.409,6.386174621,1.226464337,0.933305419,4.899645217,4.858951185
1.41,7.834492422,1.949218601,0.384917606,4.968555459,9.25529845
1.411,0.638193524,9.505355959,7.35710153,2.503017335,8.215932775
1.412,9.489944671,4.120198611,2.691728714,4.501963472,7.064844226
1.413,3.045776283,2.387307925,9.554920027,6.327160305,7.399491121
1.414,9.531100813,9.35215546,2.515544984,2.926630211,5.271657777
1.415,7.357133773,8.11641445,7.104023467,5.556076688,3.734831492
1.416,5.212965955,1.542891578,3.872907245,7.839400017,7.744350711
1.417,6.178753604,6.798991705,5.929913056,4.420064407,6.190919073
1.418,9.576016635,1.614221192,1.925524464,9.485221285,4.821434355
1.419,6.262231218,5.720713759,0.723470066,6.641516697,8.504961939
1.42,0.378585307,2.951523217,3.496754578,6.821094359,2.383646599
1.421,1.52611124,9.582977934,3.512364641,7.519361692,4.446471607
1.422,5.852518562,7.353164539,5.313208925,5.514469862,5.825466549
1.423,9.888957268,5.009226616,3.405758484,5.55376502,6.837135497
1.424,7.865565407,9.675475696,3.688600733,4.749613439,9.166632612
1.425,0.148277459,3.597405104,9.545771041,8.13886364,9.163108116
1.426,2.777158218,5.576220638,1.545669328,1.350857832,6.517626329
1.427,0.54636053,7.363152579,4.21290205,5.22754583,0.003861856
1.428,1.871137795,5.423950002,7.860264124,0.489260176,7.091752949
1.429,4.829369255,8.165503795,0.410526241,1.676867002,4.255458978
1.43,2.85290887,2.62705171,6.613487828,6.521231373,4.137592585
1.431,7.564218671,9.511634867,1.722722118,2.517728708,7.557390773
1.432,2.074073465,4.14578693,2.633142606,7.717203009,6.142747157
1.433,9.978943994,1.380770926,6.289386343,9.175938221,2.546220655
1.434,0.322654532,8.474222896,6.607998859,9.821912467,3.938464136
1.435,9.739232949,4.115997095,4.264997954,0.073602623,4.679297013
1.436,3.002724009,4.132081728,3.646468027,6.517859926,0.077328684
1.437,7.129734117,3.762629865,5.928404796,1.519502284,7.845143975
1.438,5.196141612,6.892371892,0.801379603,6.6005623,5.827222511
1.439,0.390605933,1.705738058,8.12225999,3.805222794,6.405350168
1.44,4.359456264,1.753167707,4.013279409,8.524858646,0.461289659
1.441,0.947670943,2.155238138,5.382781412,9.123186311,9.576178694
1.442,8.44490764,5.525199053,6.403314001,7.863058877,6.118958011
1.443,6.059332061,6.259363091,0.156295421,4.055392099,9.31718613
1.444,0.715975159,1.499444442,1.550604687,5.874375755,4.415147504
1.445,5.225004532,3.274102937,7.344802352,0.519479071,4.48949524
1.446,2.93285275,5.627651186,5.425847861,9.467384322,8.179531594
1.447,9.567813313,2.265058077,6.851237971,6.02370632,1.319869805
1.448,1.168675898,7.028976292,1.359665991,6.54323727,7.037012611
1.449,6.323653919,5.521905498,6.796457814,1.073183031,9.146206902
1.45,9.201422798,1.96687626,7.241184158,2.751384621,3.976663208
1.451,0.79150646,4.680190494,7.016232277,8.650243859,0.904328895
1.452,1.17833371,5.519470425,2.594761037,3.56586152,4.069806109
1.453,2.972052812,8.746660115,9.186876268,9.667021258,4.59184354
1.454,2.581435365,8.598056044,7.120574857,5.855718412,1.11114548
1.455,1.622154145,0.809299255,7.645869312,1.13604716,9.93008738
1.456,7.428161957,5.038472988,8.769213093,2.723150971,9.9215685
1.457,6.142238833,0.073143811,3.902610965,4.166453899,2.765126398
1.458,8.978103468,1.042427582,8.512901748,2.33929245,0.874728417
1.459,8.72049433,8.657641473,5.103030575,5.334821467,6.325441751
1.46,6.520384575,4.473002071,1.142885735,3.540588398,2.621287628
1.461,0.692471144,2.894662706,4.532021807,5.096601487,2.664493616
1.462,9.253426933,6.876669104,2.218966654,3.353188961,6.63931658
1.463,9.859538343,6.429359309,8.133800936,4.534600596,6.776443879
1.464,0.548030599,8.315433693,0.703926418,6.227977574,2.328179525
1.465,5.63220805,8.652735615,0.83141198,3.711256965,0.637895693
1.466,8.951889948,1.233589243,6.476856746,8.86304038,2.670997018
1.467,1.433840878,2.642697179,3.349502738,0.471673113,8.777129913
1.468,1.736222273,8.061021049,9.059305411,8.589965973,5.840930017
1.469,4.440375392,9.990984687,9.40332428,1.647800222,2.779888784
1.47,0.000178162,7.864095306,1.672253593,4.262017885,2.649662656
1.471,2.754480084,5.468658502,2.312203686,3.763110397,4.300954221
1.472,2.106076246,0.539165461,3.344415132,9.630027848,0.48287864
1.473,5.021715053,4.763300054,7.779419201,3.78008,5.434247005
1.474,5.977013808,7.069416606,3.449005773,3.202961582,4.099691614
1.475,9.785986195,0.987169985,8.774824573,6.27463644,4.11304516
1.476,3.999568033,3.097558559,3.35177405,8.137437914,3.820812466
1.477,9.202867004,0.808354718,8.960226496,6.122708802,2.608283294
1.478,7.753240932,9.958773279,2.372777594,7.660329585,8.206426116
1.479,8.18828755,9.257859721,2.275339798,7.596533139,0.372844411
1.48,1.768206883,0.656841429,9.025137072,6.062655221,6.842552267
1.481,9.672756577,3.061479253,0.867560859,5.986750269,7.127715108
1.482,8.136343127,6.49631722,1.613583407,2.040582495,5.893454513
1.483,5.332160353,7.047049951,2.867027374,0.753807829,4.58427393
1.484,1.06770989,5.255241397,7.069736164,2.798186913,1.666362115
1.485,2.626062758,9.150158945,6.361421209,4.629121218,0.906598911
1.486,7.8110162,3.599507025,5.850420112,7.587626231,8.787419878
1.487,6.40042004,9.304647997,0.557563454,2.54561281,3.139471515
1.488,2.081931925,2.627687382,7.687402591,8.501639165,4.855736454
1.489,8.37111334,9.209512099,2.582217602,6.599294891,6.817613812
1.49,8.526075112,7.619497296,6.167010502,3.459854491,9.314187558
1.491,1.959546201,0.8645196,4.630142652,7.406073685,5.065585452
1.492,5.258723471,7.426684694,8.874557412,7.764331488,3.390419622
1.493,9.626252404,7.572765119,9.226620306,6.043194067,7.300289546
1.494,8.982729692,7.777268488,6.762985913,2.782800268,7.320489261
1.495,1.028477012,0.894402361,3.76909667,2.840543551,1.142224154
1.496,7.602012148,4.863386816,5.938912166,5.107108991,3.268897065
1.497,6.826669693,7.540208051,6.349277936,6.866642049,0.612610553
1.498,2.936215842,0.853587914,7.838989844,7.083968966,5.13328862
1.499,6.631331685,5.535183068,4.087629994,4.399683343,5.11846203
1.5,1.935315313,8.760913818,0.515091596,0.811404959,2.709189085
1.501,6.063725956,5.763639852,8.951076702,2.307209314,0.49156503
1.502,8.539830693,6.956139236,4.985358374,0.800372672,3.130780525
1.503,5.609150288,7.792632583,8.515276593,7.217377667,5.479703506
1.504,0.546421044,5.247227849,7.81575619,8.989772033,7.855153536
